transaction_id,transaction_amount,transaction_date,payment_method
48,1357954.62,2003-07-29 09:14:40,Online Transfer
49,853936.59,2009-08-19 00:28:58,Debit Card
50,861070.41,2016-09-16 01:14:07,Cash
51,1775154.08,2014-02-06 02:19:31,Credit Card
52,1815940.02,2014-03-23 03:11:37,Mobile Payment
53,1968224.55,2006-01-03 15:41:34,Mobile Payment
54,1948063.92,2023-12-27 00:01:45,Mobile Payment
55,1521724.95,2006-10-18 03:23:09,Cash
56,1667641.02,2010-06-09 13:48:25,Credit Card
57,1402791.62,2000-04-19 07:35:53,Mobile Payment
58,1080876.98,2017-05-02 11:17:10,Online Transfer
59,1918292.55,2009-05-05 20:09:07,Online Transfer
60,1706797.27,2000-01-04 07:44:05,Check
61,237131.7,2013-07-07 05:02:26,Debit Card
62,1758173.12,2005-06-02 01:57:55,Online Transfer
63,607002.1,2013-11-01 08:27:35,Cash
64,1947024.41,2007-07-08 22:13:49,Mobile Payment
65,691686.02,2006-11-03 02:52:45,Cash
66,600230.53,2012-09-30 11:32:25,Cash
67,1308638.36,2012-03-06 11:24:08,Cash
68,729388.43,2006-06-13 14:16:33,Debit Card
69,968266.53,2014-02-02 15:04:18,Online Transfer
70,1406562.49,2009-12-02 01:44:54,Check
71,1668402.63,2021-09-28 05:04:36,Online Transfer
72,215983.15,2000-07-25 23:22:45,Cash
73,999592.73,2018-09-26 08:53:50,Check
74,1295212.71,2007-01-23 21:03:30,Debit Card
75,1080493.59,2003-12-17 02:46:36,Credit Card
76,1079257.87,2014-08-24 11:49:08,Credit Card
77,505434.3,2007-03-05 03:35:30,Check
78,1738488.13,2023-12-06 22:55:30,Online Transfer
79,1343382.36,2002-10-01 06:06:48,Check
80,263517.07,2010-10-08 23:18:30,Mobile Payment
81,728980.1,2007-12-02 06:31:17,Debit Card
82,980688.28,2004-09-27 09:52:25,Credit Card
83,1743438.23,2015-09-06 17:44:01,Cash
84,1006121.85,2000-07-05 01:03:02,Mobile Payment
85,520070.25,2021-11-07 18:04:05,Check
86,569283.53,2014-03-07 10:42:25,Online Transfer
87,329640.5,2005-02-14 03:19:19,Check
88,1452908.13,2007-12-17 03:32:36,Online Transfer
89,535291.1,2014-07-21 00:38:28,Cash
90,149405.44,2001-03-08 05:21:11,Credit Card
91,1103813.25,2007-07-04 02:07:33,Mobile Payment
92,1314637.68,2008-04-21 10:39:57,Mobile Payment
93,1933073.99,2012-06-10 07:37:17,Credit Card
94,331924.41,2022-07-25 12:36:26,Cash
95,451410.05,2021-02-27 02:54:36,Credit Card
96,1238641.66,2017-01-12 21:53:02,Cash
97,645010.96,2013-02-01 13:55:51,Check
98,1575289.63,2017-09-26 18:54:26,Cash
99,388020.38,2020-06-23 21:02:08,Credit Card
100,262980.8,2018-07-15 03:43:21,Check
101,1230161.61,2013-01-04 01:24:07,Check
102,1019649.02,2013-11-12 16:16:22,Cash
103,1860825.38,2021-10-21 10:44:43,Online Transfer
104,1867695.35,2021-02-26 15:16:18,Credit Card
105,1561364.26,2022-12-08 04:19:25,Mobile Payment
106,488619.4,2014-02-11 00:34:41,Cash
107,905880.31,2002-08-28 03:11:26,Check
108,1478868.59,2009-11-10 21:02:25,Check
109,854644.92,2016-04-11 03:31:02,Cash
110,1369836.55,2013-11-13 18:51:48,Check
111,337939.02,2021-02-20 08:04:38,Debit Card
112,420040.9,2001-02-23 02:32:34,Debit Card
113,1078562.61,2023-12-23 21:07:48,Credit Card
114,214066.53,2021-02-26 18:10:23,Online Transfer
115,1923531.23,2005-09-24 00:15:07,Credit Card
116,350209.02,2008-11-02 02:32:12,Cash
117,437614.57,2005-06-13 12:25:17,Cash
118,1956913.04,2012-07-19 01:03:56,Check
119,696020.52,2010-10-13 00:08:18,Credit Card
120,793345.55,2017-11-23 01:29:55,Check
121,712631.7,2016-08-28 12:08:21,Check
122,1271679.59,2000-04-05 00:45:19,Mobile Payment
123,946564.5,2009-04-25 15:59:12,Cash
124,1794084.14,2002-04-07 05:06:47,Debit Card
125,993120.03,2012-02-26 02:01:41,Credit Card
126,87513.27,2003-12-08 22:52:54,Debit Card
127,922491.64,2002-08-24 07:11:07,Cash
128,727740.04,2002-08-18 21:06:39,Credit Card
129,1840821.22,2010-09-24 17:03:50,Cash
130,1362251.95,2014-01-17 09:29:55,Mobile Payment
131,1987487.12,2008-07-12 00:55:28,Credit Card
132,1321245.64,2020-01-21 08:12:22,Online Transfer
133,360730.35,2014-07-02 20:54:48,Mobile Payment
134,1248019.23,2022-09-17 16:45:03,Debit Card
135,1674246.39,2018-05-06 01:49:37,Debit Card
136,1491036.66,2005-09-15 05:07:30,Debit Card
137,727874.73,2023-01-27 15:34:03,Cash
138,1041771.53,2002-09-02 07:16:30,Check
139,1914612.64,2017-09-03 11:04:16,Debit Card
140,1516338.59,2007-05-29 21:27:38,Online Transfer
141,910299.2,2007-11-06 06:20:20,Credit Card
142,1484077.6,2015-11-16 15:16:28,Credit Card
143,414231.06,2013-01-20 03:06:15,Credit Card
144,1664580.74,2014-05-07 17:02:41,Debit Card
145,1707697.88,2016-05-18 01:15:04,Mobile Payment
146,326446.62,2014-03-18 23:33:20,Mobile Payment
147,1301302.17,2023-11-03 20:15:59,Mobile Payment
148,1512285.22,2010-01-01 01:48:42,Online Transfer
149,1873506.31,2011-08-09 03:46:34,Cash
150,1269646.46,2020-01-24 11:40:09,Credit Card
151,1571066.5,2010-10-24 20:39:01,Debit Card
152,1467165.22,2017-03-01 08:37:28,Mobile Payment
153,501055.37,2023-07-02 20:17:34,Mobile Payment
154,448828.98,2022-08-15 05:37:42,Debit Card
155,837902.83,2022-02-16 18:40:43,Online Transfer
156,452906.9,2004-02-25 21:18:10,Check
157,523148.26,2006-05-01 08:36:03,Debit Card
158,814561.87,2004-09-05 07:15:59,Online Transfer
159,1945359.26,2009-05-15 11:23:17,Mobile Payment
160,159002.02,2018-06-09 08:52:22,Mobile Payment
161,1493558.52,2007-12-25 21:34:00,Cash
162,1631379.53,2019-04-07 20:31:57,Cash
163,336430.72,2002-07-25 02:13:11,Debit Card
164,391945.7,2015-05-13 17:30:28,Online Transfer
165,1258627.29,2000-04-13 10:24:44,Check
166,983360.94,2020-09-24 16:10:42,Credit Card
167,1942327.24,2013-12-20 17:36:15,Online Transfer
168,990622.62,2012-04-23 08:19:55,Online Transfer
169,785967.74,2010-12-08 01:36:24,Online Transfer
170,967422.73,2019-01-24 04:16:43,Mobile Payment
171,1896743.42,2010-06-25 17:05:22,Debit Card
172,1286712.7,2008-03-03 03:04:14,Cash
173,1078230.01,2019-06-14 07:30:27,Debit Card
174,1081870.61,2001-04-13 02:22:20,Credit Card
175,1903345.59,2016-05-12 13:49:19,Online Transfer
176,1852255.54,2022-12-11 08:12:04,Credit Card
177,1187503.03,2003-08-29 12:10:03,Online Transfer
178,199380.88,2007-05-09 17:05:48,Online Transfer
179,1420985.9,2023-04-10 20:03:37,Cash
180,259946.13,2014-07-26 22:05:37,Mobile Payment
181,1608792.4,2004-09-06 19:58:18,Cash
182,1833350.24,2019-05-17 12:59:59,Mobile Payment
183,1617384.44,2006-07-01 13:46:09,Debit Card
184,1805810.2,2009-12-30 00:18:38,Online Transfer
185,1642544.32,2020-07-21 10:25:51,Check
186,407135.5,2022-11-12 01:50:29,Mobile Payment
187,1731531.92,2007-07-05 01:57:01,Online Transfer
188,1127806.93,2005-05-14 18:18:47,Online Transfer
189,490307.16,2008-04-12 07:08:00,Check
190,1198802.44,2008-05-18 11:08:18,Cash
191,1182325.12,2016-10-09 15:54:08,Debit Card
192,1845971.83,2020-03-19 18:05:47,Online Transfer
193,1112202.4,2010-07-12 18:04:20,Mobile Payment
194,373194.34,2018-04-14 12:19:04,Cash
195,145037.5,2006-08-19 15:48:37,Online Transfer
196,188409.42,2010-02-24 14:16:36,Debit Card
197,898766.75,2022-08-12 12:46:21,Online Transfer
198,1420430.07,2012-11-22 21:57:22,Credit Card
199,570615.11,2021-01-21 18:35:38,Debit Card
200,1805644.37,2020-09-07 15:33:47,Online Transfer
201,1500041.9,2002-02-01 05:27:07,Mobile Payment
202,791742.49,2009-08-29 23:19:48,Mobile Payment
203,1351013.74,2020-11-14 07:42:44,Cash
204,184338.76,2010-01-23 06:31:22,Online Transfer
205,1181547.31,2021-12-25 21:29:41,Online Transfer
206,543014.61,2000-07-03 07:26:21,Cash
207,1641489.93,2014-06-03 08:00:10,Credit Card
208,1674566.05,2004-06-06 18:00:37,Check
209,1418731.28,2018-09-16 05:24:09,Credit Card
210,1452979.67,2022-07-26 21:58:14,Online Transfer
211,585862.31,2011-12-26 13:08:01,Online Transfer
212,1183508.93,2000-04-06 03:54:11,Credit Card
213,444682.81,2000-12-04 23:34:13,Check
214,706939.83,2004-02-05 10:28:35,Mobile Payment
215,1299889.22,2020-09-08 19:40:44,Credit Card
216,1089123.69,2015-01-23 05:52:23,Mobile Payment
217,1996559.71,2003-09-04 00:58:21,Online Transfer
218,815822.95,2006-08-16 06:26:35,Debit Card
219,577257.08,2010-02-09 07:26:00,Mobile Payment
220,1396755.33,2007-02-18 02:00:45,Online Transfer
221,1151580.6,2022-10-07 06:34:39,Online Transfer
222,1720239.85,2013-09-08 12:53:40,Check
223,168029.27,2016-07-30 18:49:35,Credit Card
224,562303.03,2006-06-16 06:18:30,Debit Card
225,877087.08,2013-09-27 19:06:09,Debit Card
226,238370.59,2021-06-14 18:31:00,Cash
227,1138727.11,2004-03-02 05:44:22,Mobile Payment
228,831572.69,2006-05-12 08:48:40,Check
229,1482298.94,2014-11-28 23:17:33,Cash
230,1540521.79,2001-10-24 04:46:06,Cash
231,131488.58,2015-05-27 13:17:27,Debit Card
232,1863283.85,2023-01-23 18:26:44,Credit Card
233,1232336.04,2012-06-21 23:09:25,Credit Card
234,1350845.67,2007-08-12 08:31:10,Credit Card
235,1731191.34,2011-08-15 09:33:30,Mobile Payment
236,1564915.78,2002-07-28 16:05:11,Check
237,420632.28,2012-08-14 07:01:29,Check
238,1176215.59,2018-10-25 01:03:53,Credit Card
239,945163.89,2009-03-08 03:39:26,Check
240,813396.92,2021-06-15 03:44:15,Mobile Payment
241,884876.61,2010-11-04 04:04:40,Check
242,825158.94,2004-08-29 12:21:38,Cash
243,1878760.23,2011-11-19 01:33:30,Debit Card
244,1535047.43,2016-08-26 04:55:51,Online Transfer
245,1748671.37,2023-11-04 06:44:58,Mobile Payment
246,693713.12,2013-01-09 12:37:59,Credit Card
247,1338654.19,2019-01-03 14:46:12,Check
248,780469.37,2017-11-25 12:50:28,Debit Card
249,104270.55,2022-06-04 22:51:09,Mobile Payment
250,1487801.1,2008-06-30 08:29:02,Credit Card
251,1119769.57,2019-01-23 20:25:57,Mobile Payment
252,723299.33,2016-08-20 12:48:25,Credit Card
253,484176.93,2014-07-04 13:56:20,Debit Card
254,861391.62,2004-10-31 02:43:27,Cash
255,1152841.84,2015-12-07 16:29:39,Mobile Payment
256,1637105.06,2000-03-30 18:16:31,Debit Card
257,253725.25,2023-05-08 19:09:54,Credit Card
258,1204458.67,2020-04-04 22:37:25,Cash
259,1422722.13,2020-05-20 18:51:19,Online Transfer
260,1353150.02,2010-11-02 06:10:11,Cash
261,1513481.91,2003-12-17 19:46:55,Cash
262,911499.78,2017-03-04 15:00:22,Check
263,1503924.63,2017-08-21 01:28:15,Debit Card
264,854979.14,2018-12-08 14:36:09,Credit Card
265,1093830.22,2013-06-01 21:38:57,Credit Card
266,593144.87,2015-04-07 13:53:25,Debit Card
267,293570.25,2019-07-23 18:12:56,Check
268,864049.21,2018-09-29 10:42:02,Mobile Payment
269,101317.38,2020-06-14 14:18:02,Mobile Payment
270,1310771.7,2000-04-21 19:54:35,Online Transfer
271,1760890.19,2008-11-03 01:12:52,Credit Card
272,1271742.03,2002-06-04 23:53:03,Check
273,598434.88,2006-08-22 23:31:47,Check
274,1891168.02,2004-02-09 06:19:24,Mobile Payment
275,1894800.47,2023-02-09 16:30:10,Online Transfer
276,460055.36,2014-06-03 14:29:20,Online Transfer
277,1742844.29,2000-06-02 18:54:36,Debit Card
278,1876448.99,2023-05-20 04:34:16,Online Transfer
279,754026.88,2009-11-12 13:17:35,Online Transfer
280,559632.61,2012-07-24 04:20:47,Credit Card
281,256882.86,2013-10-25 13:44:58,Mobile Payment
282,1962908.81,2019-03-12 06:04:08,Cash
283,1103272.67,2006-09-16 07:04:19,Credit Card
284,1959989.66,2001-07-11 09:42:43,Mobile Payment
285,1420602.01,2011-04-03 00:33:53,Debit Card
286,440783.99,2023-01-19 04:02:26,Check
287,351539.69,2019-03-28 13:17:08,Check
288,1098231.87,2016-04-28 05:02:14,Debit Card
289,1938997.62,2012-12-14 18:50:44,Mobile Payment
290,752802.76,2000-12-19 10:56:09,Credit Card
291,1313034.34,2003-06-09 07:05:16,Debit Card
292,994992.39,2021-02-19 12:36:35,Debit Card
293,1216944.98,2007-02-24 22:02:45,Cash
294,1636825.48,2005-03-19 19:18:37,Debit Card
295,718985.99,2022-07-08 23:56:40,Mobile Payment
296,1992989.93,2015-04-08 00:51:16,Cash
297,1092771.63,2020-03-09 17:47:10,Mobile Payment
298,955045.57,2008-04-20 11:27:48,Cash
299,1695992.88,2014-07-08 08:59:05,Check
300,1211429.3,2002-11-10 00:01:52,Check
301,1492217.43,2002-08-15 10:51:41,Mobile Payment
302,822242.74,2018-02-12 05:13:02,Mobile Payment
303,1403544.23,2016-03-24 01:49:10,Cash
304,968388.17,2007-10-14 11:43:16,Check
305,528050.57,2013-02-05 21:26:07,Debit Card
306,1474191.56,2015-01-10 20:01:27,Credit Card
307,1226817.13,2009-01-16 15:29:47,Credit Card
308,1325644.4,2002-07-16 21:40:51,Debit Card
309,165797.23,2018-09-12 00:26:50,Debit Card
310,1032926.54,2011-02-27 16:14:10,Cash
311,1768449.32,2020-04-04 04:23:24,Debit Card
312,1058450.9,2003-12-15 07:25:42,Cash
313,129392.39,2018-08-17 03:07:56,Online Transfer
314,221378.9,2017-01-13 06:56:30,Check
315,952652.73,2015-05-02 23:31:55,Debit Card
316,320689.65,2001-07-13 00:47:57,Mobile Payment
317,1629511.15,2021-04-29 14:38:32,Debit Card
318,1954267.75,2014-10-21 18:28:57,Mobile Payment
319,586927.84,2016-08-07 00:52:23,Debit Card
320,1371407.17,2003-12-07 01:24:21,Online Transfer
321,1345798.57,2008-01-29 11:06:35,Credit Card
322,385776.29,2007-09-26 10:38:56,Online Transfer
323,110063.74,2019-12-14 10:00:40,Debit Card
324,1141221.13,2003-04-16 22:13:36,Mobile Payment
325,1735451.72,2000-02-26 06:18:25,Online Transfer
326,637760.72,2013-09-12 12:13:03,Online Transfer
327,1279371.89,2006-05-12 10:59:00,Mobile Payment
328,1769069.29,2014-09-14 14:39:27,Online Transfer
329,954088.01,2014-06-22 14:41:49,Online Transfer
330,1055004.83,2017-06-12 15:18:38,Online Transfer
331,1585791.84,2009-06-27 02:47:08,Online Transfer
332,88497.54,2017-05-06 01:50:12,Debit Card
333,1905821.39,2016-03-21 08:45:22,Cash
334,172973.81,2007-09-11 07:51:57,Cash
335,1312154.25,2021-07-22 13:24:29,Debit Card
336,515201.85,2014-03-26 12:22:02,Online Transfer
337,1294831.4,2019-05-26 12:13:54,Mobile Payment
338,682562.84,2013-06-21 19:34:35,Debit Card
339,279524.79,2014-04-16 02:59:36,Check
340,806391.55,2005-08-26 19:05:48,Mobile Payment
341,532755.57,2004-08-19 15:12:26,Debit Card
342,978061.22,2001-03-24 00:28:49,Credit Card
343,454184.42,2001-12-05 21:43:25,Online Transfer
344,1897781.65,2001-08-29 05:31:09,Online Transfer
345,372519.54,2005-11-29 10:42:55,Debit Card
346,328228.08,2011-12-30 17:54:54,Debit Card
347,159873.29,2011-10-09 21:05:29,Credit Card
348,1268057.67,2016-06-21 23:51:37,Debit Card
349,1300862.97,2002-03-07 18:44:58,Mobile Payment
350,1188841.68,2014-06-29 21:13:18,Cash
351,1022517.04,2021-01-23 01:43:08,Check
352,921598.13,2006-02-10 07:34:18,Online Transfer
353,635427.34,2020-12-12 11:40:49,Mobile Payment
354,1745212.26,2008-06-02 19:01:38,Cash
355,1556033.83,2008-10-11 17:50:27,Credit Card
356,194550.39,2008-08-17 14:14:41,Debit Card
357,1423567.69,2011-10-02 06:07:00,Cash
358,1128950.39,2013-08-01 23:50:52,Debit Card
359,213166.87,2013-10-20 18:30:07,Debit Card
360,125506.37,2005-11-20 17:56:10,Mobile Payment
361,1859605.98,2002-11-09 23:22:21,Credit Card
362,186242.9,2013-01-26 00:38:15,Check
363,1670183.35,2001-11-30 10:46:27,Mobile Payment
364,372950.71,2021-04-21 09:01:22,Online Transfer
365,868169.29,2019-05-27 12:13:12,Cash
366,226799.24,2014-10-09 17:02:55,Cash
367,827234.21,2002-07-27 01:46:48,Online Transfer
368,740086.67,2014-08-28 11:13:50,Check
369,1554757.33,2019-07-19 18:36:11,Cash
370,1573576.56,2016-03-13 22:13:14,Check
371,1835030.01,2009-04-27 17:21:17,Cash
372,838817.99,2018-01-29 11:09:27,Cash
373,1194550.8,2016-08-12 18:36:32,Cash
374,1273549.47,2023-02-25 20:08:31,Mobile Payment
375,1229199.53,2013-08-05 16:46:12,Cash
376,328636.91,2000-05-02 03:37:04,Check
377,315574.82,2017-06-11 23:34:17,Credit Card
378,574890.78,2005-12-10 18:34:23,Online Transfer
379,1840663.53,2005-05-04 02:02:11,Debit Card
380,1834792.57,2000-05-28 06:31:23,Online Transfer
381,1774961.91,2012-08-26 10:15:08,Credit Card
382,1884258.93,2012-08-18 22:19:26,Credit Card
383,275637.88,2002-01-18 21:39:24,Check
384,1738305.36,2014-04-30 07:31:04,Debit Card
385,301213.64,2006-02-07 10:10:19,Check
386,398921.88,2014-05-28 05:40:14,Mobile Payment
387,148409.92,2020-03-30 11:54:40,Check
388,725537.16,2000-02-13 03:40:26,Credit Card
389,995278.9,2004-07-22 13:36:23,Check
390,596199.59,2008-09-17 22:44:49,Check
391,901795.96,2006-09-24 13:10:41,Debit Card
392,771742.72,2001-09-09 15:14:27,Check
393,786569.11,2012-07-31 22:12:43,Online Transfer
394,858759.59,2022-07-29 10:51:02,Credit Card
395,385749.7,2003-02-06 09:25:13,Mobile Payment
396,710801.2,2011-10-09 13:49:35,Mobile Payment
397,579145.69,2002-04-24 09:07:15,Credit Card
398,1825638.12,2020-10-30 11:00:00,Mobile Payment
399,260557.94,2020-12-08 20:09:02,Online Transfer
400,582969.54,2017-06-02 19:25:32,Cash
401,796592.79,2022-10-25 18:42:12,Online Transfer
402,1876059.0,2012-10-03 03:18:53,Debit Card
403,1230743.97,2017-11-19 05:34:28,Mobile Payment
404,924893.37,2007-07-28 22:42:59,Check
405,464831.95,2002-07-06 19:04:49,Check
406,973170.94,2012-07-10 23:06:10,Cash
407,436698.67,2013-09-06 06:02:02,Check
408,958305.84,2023-06-13 16:05:49,Credit Card
409,931309.63,2005-09-23 18:37:16,Mobile Payment
410,202983.67,2019-02-25 23:07:53,Credit Card
411,1621397.15,2019-09-07 15:33:36,Cash
412,1869822.68,2009-05-16 00:04:06,Debit Card
413,1238833.66,2008-02-24 18:27:11,Online Transfer
414,1641035.53,2009-06-20 20:20:26,Cash
415,1804160.56,2019-08-07 00:02:51,Check
416,555655.2,2014-04-23 19:33:14,Debit Card
417,1182256.7,2000-04-21 23:47:14,Mobile Payment
418,1465798.92,2005-04-05 21:31:19,Credit Card
419,235387.65,2010-09-19 19:52:38,Check
420,1010297.35,2012-08-09 12:15:58,Online Transfer
421,837504.13,2014-05-01 10:59:28,Debit Card
422,1666183.41,2001-05-27 16:38:34,Cash
423,464731.83,2013-10-06 14:05:11,Online Transfer
424,676688.58,2012-09-30 20:48:20,Debit Card
425,1170364.25,2002-10-27 02:09:02,Debit Card
426,211990.71,2012-01-29 21:18:43,Credit Card
427,195584.84,2015-02-02 10:04:56,Cash
428,1081548.87,2020-06-25 00:43:29,Debit Card
429,1112576.88,2001-05-14 16:14:10,Cash
430,621978.33,2010-08-24 21:14:25,Debit Card
431,452139.26,2022-08-28 18:49:46,Cash
432,896575.99,2001-10-15 09:14:59,Credit Card
433,976304.33,2014-04-12 14:48:07,Mobile Payment
434,775736.92,2019-02-28 07:41:07,Check
435,630890.91,2002-08-15 05:44:25,Credit Card
436,1070460.3,2016-05-24 22:36:27,Cash
437,173218.8,2017-09-19 08:53:38,Mobile Payment
438,1326401.0,2013-04-21 21:02:07,Mobile Payment
439,798178.31,2018-01-01 05:56:52,Check
440,855203.56,2001-10-14 14:50:25,Check
441,1618741.69,2008-07-28 03:51:35,Cash
442,1907455.14,2014-03-07 23:13:33,Online Transfer
443,1332781.71,2022-10-28 01:27:51,Cash
444,1620235.29,2002-07-19 09:57:37,Cash
445,1142411.83,2009-07-31 05:17:01,Online Transfer
446,1787983.22,2011-06-01 20:51:25,Debit Card
447,888991.16,2014-10-12 05:35:07,Check
448,1179725.97,2001-06-01 02:37:22,Online Transfer
449,108992.79,2015-01-06 03:29:21,Online Transfer
450,1694026.26,2018-01-14 19:45:25,Online Transfer
451,582698.38,2007-01-30 07:13:47,Debit Card
452,859335.1,2019-05-21 12:37:08,Cash
453,1876250.13,2011-08-27 00:52:07,Cash
454,582437.72,2003-02-28 04:50:07,Online Transfer
455,1388134.14,2001-07-02 22:48:28,Credit Card
456,875109.31,2013-11-27 03:02:45,Check
457,1785669.17,2012-12-07 03:15:21,Online Transfer
458,1946443.59,2005-12-23 08:13:15,Debit Card
459,913688.52,2015-03-25 01:06:04,Mobile Payment
460,1146023.93,2015-09-10 17:16:05,Online Transfer
461,1530650.57,2011-06-24 20:27:58,Debit Card
462,719274.18,2008-07-20 22:44:34,Debit Card
463,1847396.64,2007-06-30 12:11:54,Cash
464,1909506.36,2005-11-24 13:21:00,Online Transfer
465,1886567.4,2007-08-10 18:12:48,Credit Card
466,1007961.99,2022-01-25 13:29:05,Debit Card
467,1501097.82,2004-02-20 23:57:06,Mobile Payment
468,810828.28,2006-02-28 21:51:06,Check
469,1497950.81,2010-06-14 12:50:38,Cash
470,378115.79,2005-10-03 15:50:32,Credit Card
471,1824107.88,2020-06-03 03:22:07,Online Transfer
472,1930251.89,2002-12-13 10:31:06,Cash
473,245312.03,2017-09-17 07:55:07,Credit Card
474,1172329.34,2023-06-29 11:58:51,Online Transfer
475,1299170.79,2019-09-29 02:04:34,Credit Card
476,488850.08,2003-03-31 04:22:42,Credit Card
477,296739.45,2013-07-08 16:12:16,Mobile Payment
478,1171311.87,2023-11-11 22:48:43,Mobile Payment
479,1501791.77,2002-12-11 03:18:16,Credit Card
480,1439610.21,2015-06-01 19:59:39,Cash
481,1461932.23,2010-08-02 22:35:39,Debit Card
482,1487821.73,2003-12-20 01:56:33,Mobile Payment
483,1733492.26,2006-07-01 01:43:14,Check
484,227320.45,2001-06-26 19:56:02,Credit Card
485,1034569.6,2007-07-03 23:02:02,Mobile Payment
486,1084543.02,2023-02-10 12:04:52,Debit Card
487,178513.03,2014-04-12 10:35:01,Online Transfer
488,699227.67,2015-10-22 00:21:34,Credit Card
489,1125060.53,2022-05-28 09:57:23,Online Transfer
490,425519.22,2010-05-16 17:02:14,Debit Card
491,1858604.88,2023-07-19 10:19:22,Debit Card
492,111552.5,2014-09-07 14:25:25,Mobile Payment
493,123195.98,2017-10-05 06:31:04,Cash
494,1804437.53,2001-04-06 07:47:41,Online Transfer
495,492259.36,2010-09-25 03:57:14,Cash
496,481754.79,2018-11-24 12:55:06,Debit Card
497,1845630.63,2005-09-14 14:18:00,Mobile Payment
498,1517223.65,2007-04-01 17:30:23,Credit Card
499,482270.68,2002-01-15 02:35:41,Check
500,1866403.67,2016-07-28 00:56:29,Mobile Payment
501,1094694.29,2010-01-24 13:33:21,Online Transfer
502,1437709.35,2002-07-31 22:54:45,Online Transfer
503,511834.57,2001-09-22 01:40:56,Debit Card
504,872584.14,2021-02-01 23:00:10,Debit Card
505,1362846.72,2018-09-23 10:41:01,Credit Card
506,1333062.12,2008-05-11 06:46:24,Credit Card
507,577914.45,2009-06-20 16:19:39,Mobile Payment
508,200273.12,2023-05-03 14:39:08,Check
509,1892702.23,2017-09-19 18:22:17,Online Transfer
510,1407900.15,2001-10-24 02:11:27,Credit Card
511,1652097.82,2009-04-05 18:49:40,Check
512,1881284.39,2003-08-19 23:49:52,Credit Card
513,1391910.63,2017-09-23 10:32:16,Check
514,329473.46,2006-08-02 10:13:44,Check
515,1883291.08,2015-08-07 14:38:53,Check
516,1327149.27,2008-11-15 12:36:06,Credit Card
517,881708.97,2017-04-10 17:31:57,Mobile Payment
518,949520.63,2001-05-18 12:08:10,Credit Card
519,1486874.95,2007-02-11 19:24:40,Online Transfer
520,1638232.29,2018-12-30 15:04:14,Online Transfer
521,1947345.05,2009-08-18 19:58:02,Online Transfer
522,667476.61,2022-09-23 12:01:44,Check
523,853577.2,2023-03-08 07:29:15,Mobile Payment
524,1306189.0,2005-11-12 13:36:50,Online Transfer
525,705581.92,2003-05-26 09:21:51,Mobile Payment
526,1973893.93,2021-10-09 20:39:38,Online Transfer
527,1844490.81,2004-08-20 20:07:03,Cash
528,1544966.45,2013-07-21 20:19:49,Mobile Payment
529,1378474.55,2021-12-12 02:36:59,Debit Card
